,,,,,,,,,,,,,
Место,Бр.,Бр.,Регистарски број,Датум на решение,Назив на производителот на вино,Адреса на седиштето на производителот на вино,Адреса на главниот преработувачки капацитет,Капацитет за прием и преработка на грозје (тони),Површини под сопствени лозови насади(ха),Вкупна површина под лозови насади од постојани коперанти (во хектари),"Капацитет на опремата за пакување на
виното(во број на
шишиња на ден)",Телефон,факс
,37,2,29-9729/3,18.11.2011,"ДПУ ""ВИНАР НИПРО"" ДООЕЛ","ул.Населено место без уличен систем Никуљане,Старо Нагоричане",,"300,00","2,5","2,5",600,,
,38,3,Уп I бр.29-571/14,11.09.2014,"Акционерско друштво за земјоделие, индустрија и кооперација ГРАДИШТЕ увоз-извоз, Куманово",ул.бр.17 Куманово,"с. Градиште, Куманово",2500,"84,44","20,6",/,,
,39,4,29-9601/3,18.09.2012,"ДПТУ„ВИНАРИЈА ТРИЧКОВИЌ„ ДООЕЛ
Куманово",ул.Студена Вода Бр.23 с.Добршане - Куманово,,20,/,/,/,/,/
Неготино,40,1,08-5888/2,05.07.2011,"ДПТУ"" ВИНАРИЈА САРАФОВ"" ДООЕЛ",с.Тимјаник- Неготино,,150,"1,4",6,500,046/780-943,
,41,2,"08-5552/2
29-5733/2","06.07.2011
18.05.2012","ДПТУ ""ДУДИН "" ДООЕЛ",ул.Aцo Aџи Илов бб Неготино,с. Криволак,1000,/,83,/,043/368-506,
,42,3,08-5615/2,05.07.2011,"ДПП ""БОВИН""ДООЕЛ",ул.Индустриска бб Неготино,,1500,"51,6",6,15000,043/365-323,
,43,4,08-5704/3,05.10.2011,"ДПТУ ""ЗОИ -Унион"" ДОО Кавадарци",ул.Иво Лола Рибар бр.7,"Маршал Тито бр.бб
Неготино",300,10,10,/,043/363-444,
,44,5,"08-5810/2
Уп I бр. 29-515/14","19.07.2011
04.08.2014",""" ВЕНЕЦ ""АД",с.Долни Дисан Неготино,,150,320,100,/,"043/369-241
043/369-200",
,45,6,08-5504/2,06.07.2011,"ДПТУ ""ПИВКА 2002""-ДОО","ул.Манчо Малиманов бр.30
Неготино",ул.Индустриска бб,400,/,14,3500,043/371-416,043/371-417
,46,7,08-6002/3,11.11.2011,ДПУТ Вардарска Долина Андон ДООЕЛ експорт-импорт с.Курија Неготино,ул.Населено место без уличен систем Курија Неготино,"с.Курија,Неготино",900,/,90,8000,071/320 -867,
,47,8,"29-6246/2
Уп I бр.29-1301/15","26.03.2013
10.09.2015","ДПТУ Антигона Парк ДООЕЛ Подружница бр.3 винарија Антигона, Неготино","ул.516, бр.6 Скопје","ул.Железничка бр 45, Неготино",300,/,/,1500,/,/
,48,9,29-18369/2,30.09.2013,"ДПТ на вино,ракија,оцет и останати алкохолни и безалкохолни пијалоци ЛЕПОВО ДООЕЛ Скопје",ул. 810.бр.2 Скопје -Гази Баба,"Лепово, катастарска општина Црвени Брегови 2",400,"8,3",,2000,,
,49,11,Уп I бр.29-1398/15,01.09.2015,"Друштво за производтство,трговија и услуги ВИНАРИЈА РИСТОВ ДООЕЛ
увоз-извоз Неготино","ул. Никола Карев бр.19, Неготино","ул. Никола Карев бр.19, Неготино",30.000 кг,2 ха,,500,,
,50,12,Уп I бр.16-1384/16,01.09.2016,Друштво за производство на вино и пијалоци Пуклавец & Пријатели експорт- импорт ДООЕЛ,ул. Неселено место без уличен систем бр. Винарија/ Дисан /Хилс Долни Дисан,"ул. Неселено место без уличен систем бр.
Винарија/ Дисан /Хилс
Долни Дисан",400 т,"0,7",/,280 т,,
Охрид,51,1,"08-5789/2
29-6036/2
Уп I бр.29-541/14 Уп I бр.16-501/17","08.07.2011
30.07.2012
14.08.2014
26.05.2017","ТДПТУ ""Винарија Охрид"" Доо",Железничка бр. ББ,,10000,/,400-500,2400,,"02/3116-880
046/279-225"
,52,2,Уп I бр.16-313/16,25.02.2016,Будимир Соколовиќ,ул.Методи Патчев бр.8 Охрид,ул.Стив Наумов бб (комплекс Слобода) Охрид,6,/,/,100,,
Прилеп,53,1,08-5903/2,05.07.2011,"ТД ""ПИРГАН"" ДООЕЛ",ул.Даме Груев бр.3 Прилеп,,"130
1050",/,/,800-1200,,048/423-226
Радовиш,54,1,"29-12801/3
Уп I бр.29-756/14","05.12.2013
20.11.2014",ДПУТ увоз-извоз ВИНАСА ДОО,ул. Бел Камен бр.8 Радовиш,,20,,2,500,032//631-102,
